title,singer,bilibili_url,bvid,page,start_seconds,end_seconds,duration_seconds,cover_url
去有风的地方,郁可唯,https://www.bilibili.com/video/BV1pr6aYiE97/?p=1,BV1pr6aYiE97,1,,,232,https://i1.hdslb.com/bfs/storyff/n241229sa3v0j0o0mq3po6297s8ly50e_firsti.jpg
小幸运,田馥甄,https://www.bilibili.com/video/BV1pr6aYiE97/?p=2,BV1pr6aYiE97,2,,,266,https://i0.hdslb.com/bfs/storyff/n241229sa3a1fpna11a7wr35tvojna59_firsti.jpg
暖暖,梁静茹,https://www.bilibili.com/video/BV1pr6aYiE97/?p=3,BV1pr6aYiE97,3,,,244,https://i0.hdslb.com/bfs/storyff/n241229sa3no6xqjsbatms17e6p2c228_firsti.jpg
开始懂了,孙燕姿,https://www.bilibili.com/video/BV1pr6aYiE97/?p=4,BV1pr6aYiE97,4,,,272,https://i2.hdslb.com/bfs/storyff/n241229sa2foffk8ie4xxnrbj91oh6po_firsti.jpg
如果这就是爱情,张靓颖,https://www.bilibili.com/video/BV1pr6aYiE97/?p=5,BV1pr6aYiE97,5,,,283,https://i0.hdslb.com/bfs/storyff/n241229sa2jbqamcetjomh1ii4mme5qn_firsti.jpg
会呼吸的痛,梁静茹,https://www.bilibili.com/video/BV1pr6aYiE97/?p=6,BV1pr6aYiE97,6,,,274,https://i2.hdslb.com/bfs/storyff/n241229sa3jsthzorom1842z6y6t798u_firsti.jpg
匆匆那年,王菲,https://www.bilibili.com/video/BV1pr6aYiE97/?p=7,BV1pr6aYiE97,7,,,242,https://i2.hdslb.com/bfs/storyff/n241229sa21k2mle6ix3s11kf2bc6qjk_firsti.jpg
最美的期待,周笔畅,https://www.bilibili.com/video/BV1pr6aYiE97/?p=8,BV1pr6aYiE97,8,,,212,https://i0.hdslb.com/bfs/storyff/n241229sa1jukq0u2blxix195d8xxp9x_firsti.jpg
后来,刘若英,https://www.bilibili.com/video/BV1pr6aYiE97/?p=9,BV1pr6aYiE97,9,,,310,https://i1.hdslb.com/bfs/storyff/n241229sas4cntkt7lu2irfqfu0g0y0h_firsti.jpg
我很快乐,刘惜君,https://www.bilibili.com/video/BV1pr6aYiE97/?p=10,BV1pr6aYiE97,10,,,214,https://i0.hdslb.com/bfs/storyff/n241229sa2v9z6kvw95zun3fngvjwbk2_firsti.jpg
如果爱下去,张靓颖,https://www.bilibili.com/video/BV1pr6aYiE97/?p=11,BV1pr6aYiE97,11,,,243,https://i0.hdslb.com/bfs/storyff/n241229sa2uappe1phop1p2lkaduk3qs_firsti.jpg
忽然之间,莫文蔚,https://www.bilibili.com/video/BV1pr6aYiE97/?p=12,BV1pr6aYiE97,12,,,202,https://i1.hdslb.com/bfs/storyff/n241229sa10orjh7v9sal43se64ew4fa_firsti.jpg
你就不要想起我,田馥甄,https://www.bilibili.com/video/BV1pr6aYiE97/?p=13,BV1pr6aYiE97,13,,,283,https://i1.hdslb.com/bfs/storyff/n241229sad9n2i9yzmnzg23ifms567ga_firsti.jpg
房间,刘瑞琦,https://www.bilibili.com/video/BV1pr6aYiE97/?p=14,BV1pr6aYiE97,14,,,266,https://i0.hdslb.com/bfs/storyff/n241229sa181koc88ac9z23i9z5o4mr9_firsti.jpg
街角的祝福,戴佩妮,https://www.bilibili.com/video/BV1pr6aYiE97/?p=15,BV1pr6aYiE97,15,,,249,https://i0.hdslb.com/bfs/storyff/n241229sav4a0um9uteeg2tk4vo56fb0_firsti.jpg
